번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명
11,승마장업,10_38_01_P,4280000,CDFH3301252006000001,20060407,,2,휴업,2,휴업,,20190621,20240620,,,,,강원도 평창군 진부면 두일리 855번지,강원도 평창군 진부면 두일길 119-19,25321,해피호스파크,2.01906E+13,U,2019.6.29 2:40,,333917.0124,463763.0319,승마장업,사립,,,,,,,
12,승마장업,10_38_01_P,3360000,CDFH3301252015000001,20150415,,2,휴업,2,휴업,,20210729,20231231,,,,618807,부산광역시 강서구 대저2동 1384-1,부산광역시 강서구 공항로919번길 22 (대저2동),46719,대길승마장,2.02107E+13,U,2021.7.31 2:40,,378461.097,189619.9382,승마장업,사립,,1,0,0,0,,
13,승마장업,10_38_01_P,4290000,CDFH3301252011000001,20110922,,2,휴업,2,휴업,,20130513,20150511,,,,233833,강원도 정선군 남면 무릉리 198번지,강원도 정선군 남면 억새꽃길 275,233833,민둥산 산악승마,2.01305E+13,I,2018.8.31 23:59,,357926.5756,420218.0944,승마장업,사립,,1,,,,,
14,승마장업,10_38_01_P,4510000,CDFH3301252012000001,20120727,,2,휴업,2,휴업,,20200316,20200615,,,,,충청남도 보령시 대천동 1120-3번지,충청남도 보령시 중앙로 187-66 (대천동),33449,보령승마클럽,2.02003E+13,U,2020.3.18 2:40,,162442.5064,316891.609,승마장업,사립,Y,1,1,,,,
15,승마장업,10_38_01_P,4580000,CDFH3301252006000001,20061018,,2,휴업,2,휴업,,20090710,20100301,,951-5789,,325892,충청남도 서천군 서면 도둔리 468-5번지,충청남도 서천군 서면 동중길 99-41,,춘장대승마장,2.00907E+13,I,2018.8.31 23:59,,157390.5295,295840.8193,승마장업,사립,,,,322.75,,,
16,승마장업,10_38_01_P,4400000,CDFH3301252017000001,20170404,,2,휴업,2,휴업,,,,,043-653-0333,,,충청북도 제천시 봉양읍 명도리 326-1번지,충청북도 제천시 봉양읍 용두대로40길 172-35,27109,제천승마랜드,2.02001E+13,U,2020.1.15 2:40,,301110.8883,406959.9195,승마장업,사립,,1,,660,,,
17,승마장업,10_38_01_P,5070000,CDFH3301252016000001,20161128,,3,폐업,3,폐업,20190107,,,,054-854-8540,,,경상북도 안동시 서후면 저전리 330번지,경상북도 안동시 서후면 북평로 396-28,36616,안동승마공원,2.01901E+13,U,2019.1.9 2:40,,352105.2404,350494.4302,승마장업,사립,Y,1,4,665.61,,,
18,승마장업,10_38_01_P,5070000,CDFH3301252017000001,20170427,,3,폐업,3,폐업,20190304,,,,,,,경상북도 안동시 옥동 1230번지,"경상북도 안동시 하이마로 385 (옥동, 한국생명과학고등학교)",36663,안동시승마협회,2.01903E+13,U,2019.3.6 2:40,,350980.7528,339934.2776,승마장업,사립,Y,1,,,,,
19,승마장업,10_38_01_P,5310000,CDFH3301252014000001,20140418,,3,폐업,3,폐업,20150715,,,,,,660380,경상남도 진주시 장재동 75번지,경상남도 진주시 대신로 642-42 (장재동),660380,정오승마장,2.01507E+13,I,2018.8.31 23:59,,300930.6771,191438.9605,승마장업,사립,,1,,,,,
20,승마장업,10_38_01_P,5700000,CDFH3301251994000001,19940831,,3,폐업,3,폐업,20030901,,,,,,469884,경기도 여주시 가남읍 삼군리 산 59-5번지,,,거루승마장,2.00309E+13,I,2018.8.31 23:59,,,,승마장업,사립,0,,,3937,,,
21,승마장업,10_38_01_P,4000000,CDFH3301252006000001,20060929,,3,폐업,3,폐업,20170816,,,,372-3153,,,경기도 오산시 지곶동 466-1번지,"경기도 오산시 서랑로214번길 7-17 (지곶동, 세마대승마클럽)",18102,세마대승마장,2.01708E+13,I,2018.8.31 23:59,,202179.8063,408091.795,승마장업,사립,,,,,,,
22,승마장업,10_38_01_P,4070000,CDFH3301252015000001,20150901,,3,폐업,3,폐업,20190711,,,,,,,경기도 이천시 설성면 장천리 114번지,경기도 이천시 설성면 설성로181번길 30,17411,파밀리에승마장,2.01907E+13,U,2019.7.13 2:40,,247020.09,405111.855,승마장업,사립,,2,,,,,
23,승마장업,10_38_01_P,5590000,CDFH3301252019000001,20190310,,3,폐업,3,폐업,20210621,,,,031-868-9594,,,경기도 양주시 은현면 용암리 123-7,경기도 양주시 은현면 용암로265번길 139-46,11428,(주)휴먼앤홀스랜드,2.02106E+13,U,2021.6.23 2:40,,204385.7471,485890.4702,승마장업,사립,,1,,,,,
24,승마장업,10_38_01_P,5250000,CDFH3301252011000001,20111028,,3,폐업,3,폐업,20190328,,,,054-781-7884,,767803,경상북도 울진군 울진읍 명도리 산 149-1,,,울진 사레와 농어촌 관광,2.02011E+13,U,2020.11.21 2:40,,,,승마장업,사립,,1,4,3000,,,
25,승마장업,10_38_01_P,5080000,CDFH3301252008000001,20081127,,3,폐업,3,폐업,20150403,,,,,,730180,경상북도 구미시 선기동 98번지,경상북도 구미시 송선로2길 47 (선기동),730180,구미승마장,2.01504E+13,I,2018.8.31 23:59,,315977.6105,294292.8231,승마장업,사립,,,3,726.3,,,
26,승마장업,10_38_01_P,5080000,CDFH3301252013000001,20131203,,3,폐업,3,폐업,20191205,,,,471-6700,,730872,경상북도 구미시 해평면 금호리 707번지,경상북도 구미시 해평면 낙동대로 2206,39154,중앙승마아카데미,2.01912E+13,U,2019.12.7 2:40,,323152.5315,301174.3562,승마장업,사립,Y,1,,3536.76,,,
27,승마장업,10_38_01_P,4670000,CDFH3301252016000001,20160108,,3,폐업,3,폐업,20220421,,,,063-543-9971,,,전라북도 군산시 성산면 고봉리 147-1,전라북도 군산시 성산면 송호로 128,54046,피터팬 승마 캠프,2.02204E+13,U,2022.4.23 2:40,,180554.819,275720.9051,승마장업,사립,,0,3,1083.78,0,,
28,승마장업,10_38_01_P,6510000,CDFH3301251996100004,19961120,,3,폐업,3,폐업,20170228,,,,783-5008,,695961,제주특별자치도 제주시 조천읍 교래리 산 60-6번지,제주특별자치도 제주시 조천읍 비자림로 581,,제주관광승마장,2.01801E+13,I,2018.8.31 23:59,,169254.7757,-6941.397024,승마장업,사립,,,4,254,,,
29,승마장업,10_38_01_P,6510000,CDFH3301251996100006,19961125,,3,폐업,3,폐업,20160422,,,,,,690090,제주특별자치도 제주시 봉개동 275-73번지,제주특별자치도 제주시 명림로 274  (봉개동),,제주탑승마클럽,2.01604E+13,I,2018.8.31 23:59,,163694.6557,-3651.490184,승마장업,사립,Y,,,513.4,,,
30,승마장업,10_38_01_P,6510000,CDFH3301252006000001,20061228,,3,폐업,3,폐업,20070912,,,,799-5888,,695908,제주특별자치도 제주시 애월읍 상가리 2156-15번지,제주특별자치도 제주시 애월읍 산록서로 81,,(주)웅지레포츠산업,2.00708E+13,I,2018.8.31 23:59,,142297.1195,-11536.91377,승마장업,사립,1,1,4,774.88,,,
31,승마장업,10_38_01_P,6510000,CDFH3301252012000001,20120118,,3,폐업,3,폐업,20150702,,,,,,695926,제주특별자치도 제주시 한림읍 동명리 946-3번지,제주특별자치도 제주시 한림읍 하운당길 74,695926,한림승마장,2.01507E+13,I,2018.8.31 23:59,,132305.7411,-11437.34686,승마장업,사립,,1,,30,,,
32,승마장업,10_38_01_P,6510000,CDFH3301252012000002,20120504,,3,폐업,3,폐업,20150703,,,,,,695923,제주특별자치도 제주시 한림읍 금능리 355-13번지 외 2필지,,,더존승마장,2.01507E+13,I,2018.8.31 23:59,,,,승마장업,사립,,1,,,,,
33,승마장업,10_38_01_P,6510000,CDFH3301252015000001,20150408,,3,폐업,3,폐업,20190924,,,,064-757-4482,,690121,제주특별자치도 제주시 아라일동 6-27번지,제주특별자치도 제주시 산천단남길 42 (아라일동),63243,제주대학교 말산업전문 양성센터 종합승마타운,2.01909E+13,U,2019.9.26 2:40,,159356.3828,-5439.348053,승마장업,사립,Y,1,,,,,
34,승마장업,10_38_01_P,6510000,CDFH3301252015000002,20150610,,3,폐업,3,폐업,20151029,,,,,,695967,제주특별자치도 제주시 조천읍 선흘리 454-1번지,제주특별자치도 제주시 조천읍 번영로 1734-15,695967,제주오름 승마랜드,2.0151E+13,I,2018.8.31 23:59,,173184.3363,-5191.651557,승마장업,사립,,1,2,169.2,,,
35,승마장업,10_38_01_P,6510000,CDFH3301252015000003,20151102,,3,폐업,3,폐업,20210126,,,,,,,제주특별자치도 제주시 조천읍 선흘리 454-1,제주특별자치도 제주시 조천읍 번영로 1734-15,63346,제주오름 승마랜드,2.02101E+13,U,2021.1.28 2:40,,173184.3363,-5191.651557,승마장업,사립,,1,,1941,,,
36,승마장업,10_38_01_P,6520000,CDFH3301251991000001,19910703,,3,폐업,3,폐업,20180702,,,,738-0344,,697301,제주특별자치도 서귀포시 상예동 150번지,제주특별자치도 서귀포시 상예로 349 (상예동),63548,초원승마장,2.01807E+13,I,2018.8.31 23:59,,143740.2341,-24331.29288,승마장업,사립,Y,1,,50,,,
37,승마장업,10_38_01_P,6520000,CDFH3301251997000001,19970304,,3,폐업,3,폐업,20080528,,,,,,697320,제주특별자치도 서귀포시 대포동 1번지,제주특별자치도 서귀포시 1100로 453-24  (대포동),,트레블러스승마장,2.00803E+13,I,2018.8.31 23:59,,148909.9037,-23178.12692,승마장업,사립,1,1,3,93.15,,,
38,승마장업,10_38_01_P,6520000,CDFH3301251998000001,19980820,,3,폐업,3,폐업,20170601,,,,,,699925,제주특별자치도 서귀포시 안덕면 동광리 산 31번지,,,한라승마장,2.01706E+13,I,2018.8.31 23:59,,139758.56,-18981.4413,승마장업,사립,,1,,,,,
39,승마장업,10_38_01_P,5060000,CDFH3301252011000001,20110325,,3,폐업,3,폐업,20190218,,,,437-6855,,740823,경상북도 김천시 봉산면 상금리 산 2-4번지,경상북도 김천시 봉산면 상금길 970-51,,추풍령 말사랑 호스타운,2.01902E+13,U,2019.2.20 2:40,,294270.6937,299757.6194,승마장업,사립,Y,,,,,,
40,승마장업,10_38_01_P,5060000,CDFH3301252012000001,20121114,,3,폐업,3,폐업,20201013,,,,054 433 8773,,740871,경상북도 김천시 남면 봉천리 1816-13,경상북도 김천시 남면 용밭길 15-2,39663,김천승마장,2.0201E+13,U,2020.10.16 2:40,,310361.1437,293077.4766,승마장업,사립,,,,,,,
41,승마장업,10_38_01_P,5010000,CDFH3301252012000001,20120410,,3,폐업,3,폐업,20130909,,,,061-275-0307,,535821,전라남도 신안군 증도면 대초리 1650-37번지,전라남도 신안군 증도면 지도증도로 1083-4,535821,(주)섬들채,2.01309E+13,I,2018.8.31 23:59,,124678.8321,166370.6101,승마장업,사립,,1,2,125.13,,,
42,승마장업,10_38_01_P,5010000,CDFH3301252009000001,20090626,,3,폐업,3,폐업,20210923,,,,,,535832,전라남도 신안군 임자면 대기리 산 140,전라남도 신안군 임자면 한틀길 194-46,,임자승마공원,2.02109E+13,U,2021.9.26 2:40,,116688.3341,179425.5213,승마장업,사립,,1,8,2805,0,,
43,승마장업,10_38_01_P,4710000,CDFH3301252010000001,20100910,,3,폐업,3,폐업,20181217,,,,548-9090,,576973,전라북도 김제시 용지면 부교리 181-5번지,전라북도 김제시 용지면 콩쥐팥쥐로 779-35,576973,대원승마클럽,2.01812E+13,U,2018.12.21 2:40,,198644.5254,257402.2841,승마장업,사립,,1,2,810,,,
44,승마장업,10_38_01_P,4700000,CDFH3301252008000001,20080703,,3,폐업,3,폐업,20131001,,,,,,590842,전라북도 남원시 인월면 상우리 106-2번지,전라북도 남원시 인월면 상우윗길 75-10,,지리산 푸른언덕 승마랜드,2.01512E+13,I,2018.8.31 23:59,,256440.3154,218042.8104,승마장업,사립,Y,,,,,,
45,승마장업,10_38_01_P,4700000,CDFH3301252010000001,20100708,,3,폐업,3,폐업,20170321,,,,,,590831,전라북도 남원시 운봉읍 준향리 477-1번지,전라북도 남원시 운봉읍 황산로 952,,한국경마축산고등학교 승마클럽,2.01703E+13,I,2018.8.31 23:59,,246800.4785,215866.6742,승마장업,사립,,1,1,1625,100,,
46,승마장업,10_38_01_P,4700000,CDFH3301252012000001,20120228,,3,폐업,3,폐업,20170206,,,,,,590811,전라북도 남원시 주천면 송치리 398번지,전라북도 남원시 주천면 중송길 77,,남원 에덴 승마랜드,2.01703E+13,I,2018.8.31 23:59,,239371.3868,209521.0187,승마장업,사립,,,2,200.45,,,
47,승마장업,10_38_01_P,6520000,CDFH3301252003000002,20030224,,3,폐업,3,폐업,20150911,,,,,,,제주특별자치도 서귀포시 성산읍 난산리 2972-7번지,제주특별자치도 서귀포시 성산읍 서성일로 269,63632,이어도승마장,2.01509E+13,I,2018.8.31 23:59,,183257.7384,-9839.091818,승마장업,사립,,,,,,,
48,승마장업,10_38_01_P,6520000,CDFH3301252005000001,20050427,,3,폐업,3,폐업,20161227,,,,,,699912,제주특별자치도 서귀포시 표선면 성읍리 3138번지,제주특별자치도 서귀포시 표선면 번영로 2350-21 (3138),63624,오케이 승마장,2.01612E+13,I,2018.8.31 23:59,,177607.2974,-9043.307469,승마장업,사립,,,,,,,
49,승마장업,10_38_01_P,6520000,CDFH3301252005000002,20050427,,3,폐업,3,폐업,20180315,,,,064-787-3066,,,제주특별자치도 서귀포시 표선면 성읍리 2422번지 오케이승마장,제주특별자치도 서귀포시 표선면 번영로 2595,63624,오케이승마장,2.01803E+13,I,2018.8.31 23:59,,179752.3873,-10363.53745,승마장업,사립,,1,,477,,,
50,승마장업,10_38_01_P,6520000,CDFH3301252011000002,20110902,,3,폐업,3,폐업,20170425,,,,064)792-5688,,699931,제주특별자치도 서귀포시 대정읍 보성리 780번지,제주특별자치도 서귀포시 대정읍 보성구억로 119,,주식회사 동부레저,2.01704E+13,I,2018.8.31 23:59,,132445.0917,-25747.78926,승마장업,사립,Y,1,,,,,
51,승마장업,10_38_01_P,6520000,CDFH3301252011000003,20111219,,3,폐업,3,폐업,20220214,,,,,,699905,제주특별자치도 서귀포시 성산읍 삼달리 1767,제주특별자치도 서귀포시 성산읍 중산간동로 4328-63,63635,씨엔피(C&P)승마아카데미,2.02202E+13,U,2022.2.16 2:40,,184192.8529,-11735.18966,승마장업,사립,Y,1,0,0,30,,
52,승마장업,10_38_01_P,6520000,CDFH3301252012000002,20120727,,3,폐업,3,폐업,20211028,,,,,,699908,제주특별자치도 서귀포시 성산읍 난산리 2236,제주특별자치도 서귀포시 성산읍 서성일로 602,,아일랜드 승마장,2.0211E+13,U,2021.10.31 2:40,,185968.1483,-7997.373036,승마장업,사립,,0,0,0,0,,
53,승마장업,10_38_01_P,6520000,CDFH3301252012000004,20121108,,3,폐업,3,폐업,20160218,,,,070-4115-0151,,699911,제주특별자치도 서귀포시 표선면 가시리 2349번지,제주특별자치도 서귀포시 표선면 중산간동로5220번길 14-12,63623,주식회사 이어도사나,2.01602E+13,I,2018.8.31 23:59,,178452.2025,-15855.94926,승마장업,사립,,1,,,,,
54,승마장업,10_38_01_P,6520000,CDFH3301252014000001,20140205,,3,폐업,3,폐업,20160316,,,,,,697858,제주특별자치도 서귀포시 중문동 2475번지,제주특별자치도 서귀포시 중문관광로 287-7 (중문동),63546,중문승마클럽,2.01603E+13,I,2018.8.31 23:59,,146672.4841,-27580.69702,승마장업,사립,,1,,60,,,
55,승마장업,10_38_01_P,6520000,CDFH3301252014000003,20140217,,3,폐업,3,폐업,20160407,,,,,,699904,제주특별자치도 서귀포시 성산읍 신풍리 33번지,제주특별자치도 서귀포시 성산읍 일주동로 5417,63636,신풍승마장,2.01604E+13,I,2018.8.31 23:59,,187228.1788,-15560.24139,승마장업,사립,,1,1,473,,,
56,승마장업,10_38_01_P,5050000,CDFH3301252011000001,20110308,,3,폐업,3,폐업,20180810,,,,772-0810,,780873,경상북도 경주시 천북면 물천리 559번지,경상북도 경주시 천북면 천북남로 392,,경주승마장,2.01808E+13,I,2018.8.31 23:59,,405936.3512,265460.8428,승마장업,사립,,1,,653.14,,,
57,승마장업,10_38_01_P,5200000,CDFH3301252007000001,20070706,,3,폐업,3,폐업,20140612,,,,,,717861,경상북도 고령군 덕곡면 노리 231번지,,,대가야승마클럽,2.01406E+13,I,2018.8.31 23:59,,308401.4122,255717.4809,승마장업,사립,,,,155.2,,,
58,승마장업,10_38_01_P,5200000,CDFH3301252011000001,20111024,,3,폐업,3,폐업,20211029,,,,054-955-4072,,717871,경상북도 고령군 다산면 곽촌리 58-170,경상북도 고령군 다산면 호촌강변길 63,40101,다산에버그린승마장,2.02111E+13,U,2021.11.24 2:40,,332050.3201,260069.0944,승마장업,사립,Y,1,0,1282.32,0,,
59,승마장업,10_38_01_P,5430000,CDFH3301252011000001,20111230,,3,폐업,3,폐업,20140804,,,,055-867-3400,,668853,경상남도 남해군 창선면 부윤리 320번지,경상남도 남해군 창선면 흥선로 1930-54,668850,남해승마장,2.01408E+13,I,2018.8.31 23:59,,294230.8889,150392.6249,승마장업,사립,,1,,1634.5,,,
60,승마장업,10_38_01_P,5410000,CDFH3301252011000001,20110523,,3,폐업,3,폐업,20180501,,,,532-5454,,635822,경상남도 창녕군 대지면 석리 336번지,경상남도 창녕군 대지면 우포2로 864,50316,창녕우포승마장,2.01805E+13,I,2018.8.31 23:59,,331992.6951,229671.7108,승마장업,사립,Y,1,1,2325.25,,,
61,승마장업,10_38_01_P,4820000,CDFH3301252012000001,20121206,,3,폐업,3,폐업,20170119,,,,755-3533,,,전라남도 순천시 서면 구상리 112번지,전라남도 순천시 서면 영내길 13-12,57903,순천국제승마장,2.01701E+13,I,2018.8.31 23:59,,250162.3746,166159.3113,승마장업,사립,Y,1,,127.22,,,
62,승마장업,10_38_01_P,4980000,CDFH3301252018000001,20180126,,3,폐업,3,폐업,20180822,,,,,,,전라남도 장성군 진원면 산정리 238-5번지,전라남도 장성군 진원면 진남1로 55-34,57244,빅토리아 승마클럽,2.01808E+13,I,2018.8.31 23:59,,182961.9631,195268.2066,승마장업,사립,Y,1,,,,,
63,승마장업,10_38_01_P,4950000,CDFH3301252011000001,20110427,,3,폐업,3,폐업,20180425,,,,284-0512,,,전라남도 무안군 삼향읍 왕산리 347-1번지,전라남도 무안군 삼향읍 영산로 1100-5,58560,테마승마장,2.01804E+13,I,2018.8.31 23:59,,147643.5428,151668.5723,승마장업,사립,,1,,,,,
64,승마장업,10_38_01_P,5000000,CDFH3301252011000001,20110923,,3,폐업,3,폐업,20121205,,,,,,539851,전라남도 진도군 지산면 가치리 404번지,전라남도 진도군 지산면 지산로 704,,한울테마승마장,2.01212E+13,I,2018.8.31 23:59,,120046.6305,104660.2353,승마장업,사립,,1,2,781.2,100,,
65,승마장업,10_38_01_P,3990000,CDFH3301252012000002,20120703,,3,폐업,3,폐업,20200102,,,,521-6288,,472908,경기도 남양주시 와부읍 도곡리 305-4번지,,,건국승마,2.02001E+13,U,2020.1.4 2:40,,220798.7094,452592.112,승마장업,사립,,1,,,,,
66,승마장업,10_38_01_P,3990000,CDFH3301252013000001,20130516,,3,폐업,3,폐업,20210810,,,,,,472841,경기도 남양주시 화도읍 가곡리 149-20,경기도 남양주시 화도읍 비룡로360번길 24-9,,디원승마클럽,2.02108E+13,U,2021.8.12 2:40,,227060.2843,464217.2075,승마장업,사립,,0,0,0,0,,
67,승마장업,10_38_01_P,5120000,CDFH3301252003000001,20030922,,3,폐업,3,폐업,20090916,,,,555-0001,,745812,경상북도 문경시 호계면 호계리 23번지,경상북도 문경시 호계면 상무로 377,745812,문경승마학교,2.0111E+13,I,2018.8.31 23:59,,306758.3234,350039.7722,승마장업,사립,,,,,,,
68,승마장업,10_38_01_P,5220000,CDFH3301252013000002,20130617,,3,폐업,3,폐업,20180221,,,,054-977-7277,,718922,경상북도 칠곡군 동명면 구덕리 20-12번지,경상북도 칠곡군 동명면 한티로 256,39856,써니파크승마장,2.01802E+13,I,2018.8.31 23:59,,343159.0359,276843.5053,승마장업,사립,Y,1,,1497.7,,,
69,승마장업,10_38_01_P,5220000,CDFH3301252013000003,20131119,,3,폐업,3,폐업,20190315,,,,054-977-5238,,,경상북도 칠곡군 지천면 낙산리 335-3번지,경상북도 칠곡군 지천면 낙산로1길 27-6,39865,세븐밸리홀스라이딩,2.01903E+13,U,2019.3.17 2:40,,338113.1845,271623.914,승마장업,사립,Y,1,2,933.59,,,
70,승마장업,10_38_01_P,5370000,CDFH3301252007000001,20070321,,3,폐업,3,폐업,20131105,,,,632-3366,,656822,경상남도 거제시 하청면 석포리 75-5번지 외 1필지,경상남도 거제시 하청면 연하해안로 1120  (외 1필지),,(주)태웅 지점 거제승마클럽,2.01311E+13,I,2018.8.31 23:59,,346338.8626,162952.8946,승마장업,사립,Y,1,5,2028.16,,,
71,승마장업,10_38_01_P,4090000,CDFH3301251999000001,19991007,,3,폐업,3,폐업,20190528,,,,987-1118,,415881,"경기도 김포시 하성면 가금리 393번지 외 2필지(394,394-9)",경기도 김포시 하성면 가금로228번길 38-85,10004,김포 승마클럽,2.01905E+13,U,2019.5.30 2:40,,165633.7001,471102.5509,승마장업,사립,Y,,3,2819.6,,,
72,승마장업,10_38_01_P,5530000,CDFH3301252008000001,20081127,,3,폐업,3,폐업,20180205,,,,366-5347,,445932,경기도 화성시 양감면 사창리 1024-5,경기도 화성시 양감면 솔안길 110,,화성승마클럽,2.01802E+13,I,2020.8.5 0:23,,196735.8906,397768.5307,승마장업,사립,0,,,,,,
73,승마장업,10_38_01_P,5360000,CDFH3301252011000001,20110617,,3,폐업,3,폐업,20161212,,,,055-391-3711,,627891,경상남도 밀양시 하남읍 남전리 116-1번지,경상남도 밀양시 하남읍 성만남전로 444-9,50454,밀양 승마장,2.01612E+13,I,2018.8.31 23:59,,357400.92,213535.7067,승마장업,사립,,,,,,,
74,승마장업,10_38_01_P,3930000,CDFH3301252011000003,20111208,,3,폐업,3,폐업,20171011,,,,031-418-5400,,,경기도 안산시 상록구 팔곡일동 19-5번지,경기도 안산시 상록구 목장길 36-21 (팔곡일동),15519,안산해피승마장,2.0171E+13,I,2018.8.31 23:59,,189457.9659,423408.8203,승마장업,사립,Y,1,3,663.33,,,
75,승마장업,10_38_01_P,3930000,CDFH3301252014000001,20140310,,3,폐업,3,폐업,20180605,,,,031-410-1154,,426220,경기도 안산시 상록구 사사동 587번지,경기도 안산시 상록구 수인로 895-86 (사사동),15525,골드승마클럽,2.01806E+13,I,2018.8.31 23:59,,192132.0932,421581.8872,승마장업,사립,Y,1,,,,,
76,승마장업,10_38_01_P,5020000,CDFH3301252002000001,20021105,,3,폐업,3,폐업,20140429,,,,,,790853,경상북도 포항시 남구 동해면 신정리 387-1번지,경상북도 포항시 남구 동해면 약전로115번길 11,790853,포항동해승마장,2.01404E+13,I,2018.8.31 23:59,,420737.2695,278273.1859,승마장업,사립,,1,,,,,
77,승마장업,10_38_01_P,5710000,CDFH3301252012100001,20120827,,3,폐업,3,폐업,20191220,,,,043-258-8000,,,충청북도 청주시 상당구 낭성면 지산리 426-1번지,충청북도 청주시 상당구 낭성면 지산길 67-16,28193,태산승마타운,2.01912E+13,U,2019.12.22 2:40,,251989.0059,347479.2544,승마장업,사립,Y,,,,,,
78,승마장업,10_38_01_P,5530000,CDFH3301252010000001,20100408,,3,폐업,3,폐업,20150521,,,,,,445833,경기도 화성시 매송면 천천리 32-2,경기도 화성시 매송면 매송고색로503번길 237-22,445830,홀스 메이트,2.01505E+13,I,2020.8.5 0:23,,195546.4668,416523.1282,승마장업,사립,,1,,143.64,,,
