번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명
11,빙상장업,10_34_01_P,4490000,CDFH3301242013000001,20130103,,3,폐업,3,폐업,20130308,,,,561-7727,,331701,충청남도 천안시 서북구 불당동 18번지 종합경기장내,충청남도 천안시 서북구 번영로 208 (불당동),331701,천안시생활체육겨울캠프,2.01303E+13,I,2018.8.31 23:59,,209897.7323,368705.6898,빙상장업,사립,,1,0,0,0,,
12,빙상장업,10_34_01_P,4490000,CDFH3301242014000001,20141230,,3,폐업,3,폐업,20150224,,,,,,331220,충청남도 천안시 서북구 백석동 251번지,충청남도 천안시 서북구 번영로 208 (백석동),31157,천안시 시설관리공단,2.0151E+13,I,2018.8.31 23:59,,210179.4929,368637.8349,빙상장업,사립,,1,0,0,0,,
13,빙상장업,10_34_01_P,4490000,CDFH3301242015000001,20151231,,3,폐업,3,폐업,20160225,,,,529-5040,,,충청남도 천안시 서북구 백석동 251번지 종합운동장 1층,"충청남도 천안시 서북구 번영로 208, 1층 (백석동)",31157,천안시 시설관리공단 빙상장,2.01711E+13,I,2018.8.31 23:59,,210179.4929,368637.8349,빙상장업,사립,Y,1,0,0,0,,
14,빙상장업,10_34_01_P,4490000,CDFH3301242016000001,20161220,,3,폐업,3,폐업,20170228,,,,041-529-5038,,,충청남도 천안시 서북구 백석동 251번지 종합운동장,충청남도 천안시 서북구 번영로 208 (백석동),31157,천안시 시설관리공단 빙상장,2.01711E+13,I,2018.8.31 23:59,,210179.4929,368637.8349,빙상장업,사립,,1,0,0,0,,
15,빙상장업,10_34_01_P,4490000,CDFH3301242017000001,20171220,,3,폐업,3,폐업,20180221,,,,041-529-5000,,,충청남도 천안시 서북구 백석동 251번지 종합운동장,"충청남도 천안시 서북구 번영로 208, 종합운동장 (백석동)",31157,천안시 종합운동장 야외스케이트장,2.01802E+13,I,2018.8.31 23:59,,210179.4929,368637.8349,빙상장업,사립,,0,0,0,0,,
16,빙상장업,10_34_01_P,4490000,CDFH3301242017000002,20171229,,3,폐업,3,폐업,20180221,,,,041-521-5000,,,충청남도 천안시 동남구 신부동 139-2번지,,,도솔광장 야외스케이트장,2.01802E+13,I,2018.8.31 23:59,,214375.8943,369219.6886,빙상장업,사립,Y,1,0,2682,0,,
17,빙상장업,10_34_01_P,3220000,CDFH3301242019000001,20190111,,3,폐업,3,폐업,20191205,,,,02-6000-1156,,,서울특별시 강남구 삼성동 159번지 코엑스,"서울특별시 강남구 영동대로 513, 코엑스 (삼성동)",6164,코엑스 K-POP광장 아이스런,2.01912E+13,U,2019.12.7 2:40,,205130.5917,445590.0968,빙상장업,사립,,,,,,,
18,빙상장업,10_34_01_P,3440000,CDFH3301241996000001,19961202,,3,폐업,3,폐업,20090121,,,,623-0005,,705832,대구광역시 남구 봉덕동 산 152-5번지,,,대원레포츠 빙상장,2.00901E+13,I,2018.8.31 23:59,,343609.2554,259981.5081,빙상장업,사립,0,,,7282,,,
19,빙상장업,10_34_01_P,3280000,CDFH3301242005000001,20051107,,3,폐업,3,폐업,20130115,,,,051-403-5114,,606081,부산광역시 영도구 동삼동 317-8번지 한나타워 5층,"부산광역시 영도구 동삼로 56  (동삼동,한나타워 5층)",,영도문화아이스링크,2.01301E+13,I,2018.8.31 23:59,,388801.5342,177450.777,빙상장업,사립,Y,,1,14364.42,,,
20,빙상장업,10_34_01_P,5130000,CDFH3301242014000001,20141021,,3,폐업,3,폐업,20210111,,,,053-811-1700,,712882,경상북도 경산시 남천면 금곡리 668-14,경상북도 경산시 남천면 남천로 305-61,38696,경산스파월드,2.02101E+13,U,2021.1.13 2:40,,356929.1784,252553.1845,빙상장업,사립,,,,,,,
21,빙상장업,10_34_01_P,5130000,CDFH3301242015000001,20150107,,3,폐업,3,폐업,20150223,,,,,,712130,경상북도 경산시 대평동 370-23번지,,,(주)국제레져산업,2.01502E+13,I,2018.8.31 23:59,,356361.7774,260910.2276,빙상장업,사립,Y,1,,,,,
22,빙상장업,10_34_01_P,6510000,CDFH3301242009000001,20090122,,3,폐업,3,폐업,20110201,,,,721-1000,,690807,제주특별자치도 제주시 도남동 277번지,제주특별자치도 제주시 연북로 444 (도남동),690807,제주아이스랜드,2.01112E+13,I,2018.8.31 23:59,,156152.4406,-1682.2152,빙상장업,사립,Y,,,2582.95,,,
23,빙상장업,10_34_01_P,3060000,CDFH3301242019000001,20190514,,3,폐업,3,폐업,20220103,,,,02-433-3220,,,서울특별시 중랑구 상봉동 214-3,서울특별시 중랑구 상봉중앙로 45 (상봉동),2090,ICE PLANET(아이스 플래닛),2.02203E+13,U,2022.3.5 2:40,,207618.1463,455430.9766,빙상장업,사립,,0,0,0,0,,
24,빙상장업,10_34_01_P,5050000,CDFH3301242003000001,20030820,,3,폐업,3,폐업,20051125,,,,742-7422,,780290,경상북도 경주시 신평동 351번지 서광프라자 지하1층,"경상북도 경주시 천북남로 27  (신평동,서광프라자 지하1층)",,보문실내스케이트장,2.00511E+13,I,2018.8.31 23:59,,406688.518,263005.8094,빙상장업,사립,0,,,,,,
25,빙상장업,10_34_01_P,5050000,CDFH3301242012000001,20120103,,3,폐업,3,폐업,20120406,,,,054-772-2311,,780130,경상북도 경주시 황성동 1017-1번지,,,황성스케이트장,2.01205E+13,I,2018.8.31 23:59,,399330.8882,264569.7595,빙상장업,사립,Y,,,,,,
26,빙상장업,10_34_01_P,3940000,CDFH3301242007000001,20071224,,3,폐업,3,폐업,20120514,,,,031-931-9006,,410837,경기도 고양시 일산동구 장항동 869번지 SK엠시티드라마파크 B-B1234A호,,,매직 아이스링크,2.01205E+13,I,2018.8.31 23:59,,179708.8263,461404.8039,빙상장업,사립,Y,,,,,,
27,빙상장업,10_34_01_P,3940000,CDFH3301242013000001,20131203,,3,폐업,3,폐업,20140310,,,,961-6344,,411410,경기도 고양시 일산서구 대화동 2606번지,경기도 고양시 일산서구 한류월드로 300 (대화동),411410,(주)원마운트,2.01403E+13,I,2018.8.31 23:59,,178268.1356,462480.7344,빙상장업,사립,,,,,,,
28,빙상장업,10_34_01_P,3940000,CDFH3301242014000001,20141211,,3,폐업,3,폐업,20150302,,,,961-6344,,411410,경기도 고양시 일산서구 대화동 2606번지,경기도 고양시 일산서구 한류월드로 300 (대화동),411410,(주)원마운트,2.01503E+13,I,2018.8.31 23:59,,178268.1356,462480.7344,빙상장업,사립,,1,,,,,
29,빙상장업,10_34_01_P,3940000,CDFH3301242015000001,20151218,,3,폐업,3,폐업,20160218,,,,031-961-6343,,,경기도 고양시 일산서구 대화동 2606번지,"경기도 고양시 일산서구 한류월드로 300 (대화동, 원마운트)",10392,(주)원마운트,2.01602E+13,I,2018.8.31 23:59,,178268.1356,462480.7344,빙상장업,사립,Y,1,,,,,
30,빙상장업,10_34_01_P,3940000,CDFH3301242016000001,20161217,,3,폐업,3,폐업,20170208,,,,031-961-6343,,,경기도 고양시 일산서구 대화동 2606번지 야외광장,"경기도 고양시 일산서구 한류월드로 300 (대화동, 원마운트)",10392,(주)원마운트,2.01702E+13,I,2018.8.31 23:59,,178268.1356,462480.7344,빙상장업,사립,Y,1,,,,,
31,빙상장업,10_34_01_P,3940000,CDFH3301242017000001,20171222,,3,폐업,3,폐업,20180306,,,,031-961-6343,,,경기도 고양시 일산서구 대화동 2606번지 원마운트,"경기도 고양시 일산서구 한류월드로 300, 원마운트 (대화동)",10392,(주)원마운트,2.01803E+13,I,2018.8.31 23:59,,178268.1356,462480.7344,빙상장업,사립,,1,,,,,
32,빙상장업,10_34_01_P,6520000,CDFH3301242006000001,20061204,,3,폐업,3,폐업,20111230,,,,064)731-4267,,697808,제주특별자치도 서귀포시 색달동 2812-4번지,제주특별자치도 서귀포시 중문관광로72번길 35 (색달동),,롯데 아이스링크,2.01301E+13,I,2018.8.31 23:59,,144978.7852,-27367.54186,빙상장업,사립,,,,,,,
33,빙상장업,10_34_01_P,6520000,CDFH3301242007000001,20071116,,3,폐업,3,폐업,20111230,,,,,,697808,제주특별자치도 서귀포시 색달동 2812-4번지,제주특별자치도 서귀포시 중문관광로72번길 35  (색달동),,(주)비앤아이 코리아,2.01112E+13,I,2018.8.31 23:59,,144978.7852,-27367.54186,빙상장업,사립,0,,,,,,
34,빙상장업,10_34_01_P,6520000,CDFH3301242008000001,20081120,,3,폐업,3,폐업,20111230,,,,,,697808,제주특별자치도 서귀포시 색달동 2812-0004번지,,,야외 아이스링크장,2.01112E+13,I,2018.8.31 23:59,,144978.7852,-27367.54186,빙상장업,사립,0,,,,,,
35,빙상장업,10_34_01_P,6520000,CDFH3301242009000001,20091201,,3,폐업,3,폐업,20111230,,,,064-738-9961,,697808,제주특별자치도 서귀포시 색달동 2812-4번지,제주특별자치도 서귀포시 중문관광로72번길 35  (색달동),,롯데호텔 야외아이스링크,2.01112E+13,I,2018.8.31 23:59,,144978.7852,-27367.54186,빙상장업,사립,,,,,,,
36,빙상장업,10_34_01_P,6520000,CDFH3301242017000001,20171201,,3,폐업,3,폐업,20180303,,,,,,,제주특별자치도 서귀포시 안덕면 서광리 산 24번지,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,63522,(주)람정제주개발,2.01803E+13,I,2018.8.31 23:59,,136356.9423,-20780.80749,빙상장업,사립,Y,,,,,,
37,빙상장업,10_34_01_P,3620000,CDFH3301242006000001,20060116,,3,폐업,3,폐업,20140508,,,,,,500240,광주광역시 북구 생용동 138번지,광주광역시 북구 우치로 677 (생용동),500240,광주패밀리랜드(주),2.01405E+13,I,2018.8.31 23:59,,189939.239,191422.8622,빙상장업,사립,,,,,,,
38,빙상장업,10_34_01_P,4820000,CDFH3301242006000001,20061130,,3,폐업,3,폐업,20110428,,,,061-726-3344,,540854,전라남도 순천시 해룡면 상삼리 426번지,,,순천아이스링크,2.01104E+13,I,2018.8.31 23:59,,248711.7042,161073.0631,빙상장업,사립,1,,1,1144,,,
39,빙상장업,10_34_01_P,4820000,CDFH3301242008000001,20080124,,3,폐업,3,폐업,20110105,,,,746-1600,,540970,전라남도 순천시 풍덕동 290-10번지,,,팔마빙상문화센터,2.01101E+13,I,2018.8.31 23:59,,246344.2571,160278.4123,빙상장업,사립,0,,,1243.38,,,
40,빙상장업,10_34_01_P,4950000,CDFH3301242011000003,20110119,,3,폐업,3,폐업,20111101,,,,281-2824,,534821,전라남도 무안군 삼향읍 남악리 1472번지,전라남도 무안군 삼향읍 남악4로 86,,남악아이스링크,2.01111E+13,I,2018.8.31 23:59,,151101.7976,146190.0356,빙상장업,사립,,1,,,,,
41,빙상장업,10_34_01_P,4950000,CDFH3301242011000004,20111212,,3,폐업,3,폐업,20130226,,,,061-284-2224,,534821,전라남도 무안군 삼향읍 남악리 2119번지,,,남악아이스링크,2.01302E+13,I,2018.8.31 23:59,,151018.4637,146278.1406,빙상장업,사립,Y,1,,,,,
42,빙상장업,10_34_01_P,3930000,CDFH3301242012000001,20121214,,3,폐업,3,폐업,20130305,,,,,,425906,경기도 안산시 단원구 고잔동 800번지,,,안산야외스케이트장(펜퍼스픽트레이딩),2.01303E+13,I,2018.8.31 23:59,,184864.1712,423355.4733,빙상장업,사립,Y,1,,,30,,
43,빙상장업,10_34_01_P,3180000,CDFH3301242006000001,20060113,,3,폐업,3,폐업,20060228,,,,785-1093,,150010,서울특별시 영등포구 여의도동 83-6번지,,,여의도한강수영장(빙상장),2.00603E+13,I,2018.8.31 23:59,,193249.4998,447795.4371,빙상장업,사립,0,,,,,,
44,빙상장업,10_34_01_P,3180000,CDFH3301242009000001,20091218,,3,폐업,3,폐업,20120822,,,,831-9935,,150811,서울특별시 영등포구 대림동 611번지,,,대림아이스링크,2.01208E+13,I,2018.8.31 23:59,,190630.3456,444661.7947,빙상장업,사립,,,,,,,
45,빙상장업,10_34_01_P,3230000,CDFH3301242019000001,20191217,,3,폐업,3,폐업,20200205,,,,,,,서울특별시 송파구 방이동 88번지 올림픽공원,"서울특별시 송파구 올림픽로 424, 올림픽공원 (방이동)",5540,올림픽공원 스케이트장,2.02002E+13,U,2020.2.8 2:40,,210199.4592,446539.2794,빙상장업,사립,,,,,,,
46,빙상장업,10_34_01_P,3210000,CDFH3301242019000001,20191217,,3,폐업,3,폐업,20200306,,,,,,,서울특별시 서초구 반포동 19-4번지 강남고속버스터미널,"서울특별시 서초구 신반포로 194, 강남고속버스터미널 (반포동)",6545,서초아이스링크,2.02003E+13,U,2020.3.8 2:40,,200554.744,444811.3648,빙상장업,사립,,,,,,,
47,빙상장업,10_34_01_P,5690000,CDFH3301242019000002,20191224,,3,폐업,3,폐업,20200306,,,,,,,세종특별자치시 보람동 626-5번지 세종시청,"세종특별자치시 한누리대로 2130, 세종시청 (보람동)",30151,주식회사 알앤알스포츠,2.02003E+13,U,2020.3.8 2:40,,225846.8163,331049.0207,빙상장업,사립,,,,,,,
48,빙상장업,10_34_01_P,4530000,CDFH3301242019000001,20191217,,3,폐업,3,폐업,20200207,,,,041-662-1136,,,충청남도 서산시 예천동 1255-1번지,,,서산 야외스케이트장,2.02002E+13,U,2020.2.9 2:40,,,,빙상장업,사립,,,,,,,
49,빙상장업,10_34_01_P,4400000,CDFH3301242019000001,20191218,,3,폐업,3,폐업,20200204,,,,,,,충청북도 제천시 명동 68번지,충청북도 제천시 동명로 77 (명동),27171,제천시야외스케이트장,2.02002E+13,U,2020.2.8 2:40,,307300.8639,404469.646,빙상장업,사립,,,,,,,
50,빙상장업,10_34_01_P,4490000,CDFH3301242020000001,20200103,,3,폐업,3,폐업,20200304,,,,041-529-5050,,,충청남도 천안시 서북구 백석동 251번지 종합운동장,"충청남도 천안시 서북구 번영로 208, 종합운동장(오륜문광장) (백석동)",31157,천안종합운동장야외스케이트장,2.02003E+13,U,2020.3.6 2:40,,210179.4929,368637.8349,빙상장업,사립,Y,0,0,0,0,,
51,빙상장업,10_34_01_P,4490000,CDFH3301242020000002,20200103,,3,폐업,3,폐업,20200304,,,,,,,충청남도 천안시 동남구 신부동 124번지 도솔광장,"충청남도 천안시 동남구 천안대로 844, 도솔광장 (신부동)",31115,도솔광장 야외스케이트장,2.02003E+13,U,2020.3.6 2:40,,214364.9297,369193.1717,빙상장업,사립,,1,0,0,0,,
52,빙상장업,10_34_01_P,5310000,CDFH3301242019000001,20191203,,3,폐업,3,폐업,20200212,,,,055-759-5218,,,경상남도 진주시 초전동 1583-14번지 진주국민체육센터,"경상남도 진주시 남강로 1655, 진주실내체육관 옆 (초전동)",52733,진주시 야외스케이트장,2.02002E+13,U,2020.2.14 2:40,,302418.8842,190404.3549,빙상장업,공립,Y,1,,,,,
53,빙상장업,10_34_01_P,3220000,CDFH3301242019000002,20191206,,3,폐업,3,폐업,20200219,,,,02-6000-1125,,,서울특별시 강남구 삼성동 159번지 코엑스,"서울특별시 강남구 영동대로 513, 코엑스 (삼성동)",6164,코엑스 K-POP광장 아이스런,2.02002E+13,U,2020.2.21 2:40,,205130.5917,445590.0968,빙상장업,사립,,,,,,,
54,빙상장업,10_34_01_P,5380000,CDFH3301242012000001,20120601,,3,폐업,3,폐업,20131001,,,,055-911-7777,,626050,경상남도 양산시 중부동 685-2번지 다몬프리미엄 아울렛(7층),"경상남도 양산시 중부로 2, 7층 (중부동, 다몬프리미엄 아울렛)",626050,인터불고몰 빙상장,2.0131E+13,I,2018.8.31 23:59,,384263.9025,206290.2912,빙상장업,사립,,,,,,,
55,빙상장업,10_34_01_P,3520000,CDFH3301242002000001,20020902,,3,폐업,3,폐업,20150423,,,,,,406707,인천광역시 연수구 연수동 동남아파트 상가동 3층,,,동남스포피아,2.01504E+13,I,2018.8.31 23:59,,,,빙상장업,사립,,,,,,,
56,빙상장업,10_34_01_P,3990000,CDFH3301242014000001,20140129,,3,폐업,3,폐업,20160804,,,,1588-9834,,472501,경기도 남양주시 별내동 802번지 소각동,"경기도 남양주시 덕송3로 76, 소각동 (별내동)",472501,(주)메이저스포츠 남양주별내빙상장,2.01608E+13,I,2018.8.31 23:59,,209914.4679,463465.4386,빙상장업,사립,Y,1,,,,,
57,빙상장업,10_34_01_P,4010000,CDFH3301242017000001,20171229,,3,폐업,3,폐업,20190118,,,,,,,경기도 시흥시 월곶동 520-373번지 시흥에코피아주식회사,"경기도 시흥시 서해안로 900, 시흥에코피아주식회사 (월곶동)",14970,시흥 야외스케이트장,2.01901E+13,U,2019.1.20 2:40,,177945.5844,432677.4072,빙상장업,사립,Y,,,,,,
58,빙상장업,10_34_01_P,3860000,CDFH3301242005000002,20051223,,3,폐업,3,폐업,20060308,,,,326-4484,,420860,경기도 부천시 상동 529-2번지 부천영상단지내,,,부천 스노우 월드(부천 실외 아이스링크장),2.00603E+13,I,2018.8.31 23:59,,177525.4571,445566.1163,빙상장업,사립,0,,,4893,,,
59,빙상장업,10_34_01_P,3860000,CDFH3301242005000003,20050822,,3,폐업,3,폐업,20100106,,,,329-0001,,420827,경기도 부천시 심곡동 383-3번지,경기도 부천시 부일로 460  (심곡동),,프리존아이스링크,2.01001E+13,I,2018.8.31 23:59,,180549.5614,442668.0183,빙상장업,사립,0,,,,,,
60,빙상장업,10_34_01_P,3860000,CDFH3301242013000001,20131213,,3,폐업,3,폐업,20170216,,,,032-442-4455,,420020,경기도 부천시 중동 1024번지 부천체육관,"경기도 부천시 석천로 293 (중동, 부천체육관)",14509,부천레저산업,2.01702E+13,I,2018.8.31 23:59,,178953.6915,445735.3967,빙상장업,사립,,,,,,,
61,빙상장업,10_34_01_P,3180000,CDFH3301242016000001,20161214,,3,폐업,3,폐업,20170616,,,,070-4242-1222,,,서울특별시 영등포구 여의도동 2번지,"서울특별시 영등포구 여의공원로 68 (여의도동, 여의도공원 문화의마당)",7243,여의 아이스파크,2.01706E+13,I,2018.8.31 23:59,,193078.1538,447096.1385,빙상장업,사립,,,,,,,
62,빙상장업,10_34_01_P,3180000,CDFH3301242017000001,20171219,,3,폐업,3,폐업,20180319,,,,070-4242-1222,,,서울특별시 영등포구 여의도동 2번지 여의도공원 문화의마당,"서울특별시 영등포구 여의공원로 68, 여의도공원 문화의마당 (여의도동)",7243,여의아이스파크,2.01803E+13,I,2018.8.31 23:59,,193078.1538,447096.1385,빙상장업,사립,,,,,,,
63,빙상장업,10_34_01_P,3230000,CDFH3301242009000001,20091207,,3,폐업,3,폐업,20100302,,,,,,138829,서울특별시 송파구 방이동 88-2번지 평화의문광장,"서울특별시 송파구 올림픽로 424  (방이동,평화의문광장)",,한국체육산업개발(주),2.01003E+13,I,2018.8.31 23:59,,211073.254,446095.1339,빙상장업,사립,,,,,,,
64,빙상장업,10_34_01_P,3230000,CDFH3301242010000001,20101208,,3,폐업,3,폐업,20121120,,,,,,138888,서울특별시 송파구 문정동 516번지 가든파이브,서울특별시 송파구 충민로 66 (문정동),138960,아이스가든,2.01211E+13,I,2018.8.31 23:59,,211053.1195,442026.9888,빙상장업,사립,Y,1,,,,,
65,빙상장업,10_34_01_P,3230000,CDFH3301242010000002,20101209,,3,폐업,3,폐업,20110224,,,,,,138829,서울특별시 송파구 방이동 88-2번지 올림픽공원내,"서울특별시 송파구 올림픽로 424  (방이동,올림픽공원내)",,한국체육산업개발주식회사,2.01102E+13,I,2018.8.31 23:59,,211073.254,446095.1339,빙상장업,사립,Y,1,,,,,
66,빙상장업,10_34_01_P,3230000,CDFH3301242011000001,20111214,,3,폐업,3,폐업,20120912,,,,02-410-1691,,138829,서울특별시 송파구 방이동 88-2번지 올림픽공원 내,"서울특별시 송파구 올림픽로 424  (방이동,올림픽공원 내)",,올림픽스케이트장,2.01209E+13,I,2018.8.31 23:59,,211073.254,446095.1339,빙상장업,사립,Y,1,,,,,
67,빙상장업,10_34_01_P,3230000,CDFH3301242012000001,20121214,,3,폐업,3,폐업,20130212,,,,,,138749,서울특별시 송파구 방이동 88-2번지 올림픽공원내,서울특별시 송파구 올림픽로 424 (방이동),138749,한국체육산업개발주식회사,2.01302E+13,I,2018.8.31 23:59,,211073.254,446095.1339,빙상장업,사립,Y,1,,,,,
68,빙상장업,10_34_01_P,3230000,CDFH3301242012000002,20121221,,3,폐업,3,폐업,20130220,,,,553-2456,,138960,서울특별시 송파구 문정동 516번지 가든파이브라이프,서울특별시 송파구 충민로 66 (문정동),138960,(주)알앤알트레이딩,2.01302E+13,I,2018.8.31 23:59,,211053.1195,442026.9888,빙상장업,사립,Y,2,,,,,
69,빙상장업,10_34_01_P,3230000,CDFH3301242013000001,20131128,,3,폐업,3,폐업,20140225,,,,,,138960,서울특별시 송파구 문정동 634번지 1층,"서울특별시 송파구 충민로 66, 1층 (문정동)",138960,아이스가든,2.01402E+13,I,2018.8.31 23:59,,210986.4607,441725.2935,빙상장업,사립,Y,,,,,,
70,빙상장업,10_34_01_P,3230000,CDFH3301242013000002,20131218,,3,폐업,3,폐업,20140217,,,,,,138749,서울특별시 송파구 방이동 88-2번지,서울특별시 송파구 올림픽로 424 (방이동),138749,올림픽스케이트장,2.01402E+13,I,2018.8.31 23:59,,211073.254,446095.1339,빙상장업,사립,Y,2,,,,,
71,빙상장업,10_34_01_P,3230000,CDFH3301242014000001,20141212,,3,폐업,3,폐업,20150317,,,,2157-8866~7,,138960,서울특별시 송파구 문정동 634번지 가든파이브 라이프,"서울특별시 송파구 충민로 66 (문정동, 가든파이브 라이프)",138960,케이씨 렌탈(아이스가든),2.01503E+13,I,2018.8.31 23:59,,210986.4607,441725.2935,빙상장업,사립,,,,,,,
72,빙상장업,10_34_01_P,3230000,CDFH3301242014000002,20141226,,3,폐업,3,폐업,20150213,,,,410-1691,,138749,서울특별시 송파구 방이동 88번지 올림픽공원,"서울특별시 송파구 올림픽로 424 (방이동, 올림픽공원)",138749,올림픽스케이트장,2.01502E+13,I,2018.8.31 23:59,,210199.4592,446539.2794,빙상장업,사립,,,,,,,
73,빙상장업,10_34_01_P,3230000,CDFH3301242015000001,20151215,,3,폐업,3,폐업,20160215,,,,02-410-1691,,,서울특별시 송파구 방이동 88번지,"서울특별시 송파구 올림픽로 424 (방이동, 올림픽공원)",5540,올림픽스케이트장,2.01602E+13,I,2018.8.31 23:59,,210199.4592,446539.2794,빙상장업,사립,,,,,,,
74,빙상장업,10_34_01_P,3230000,CDFH3301242016000001,20161220,,3,폐업,3,폐업,20170227,,,,02-410-1691,,,,"서울특별시 송파구 올림픽로 424 (방이동, 올림픽공원)",5540,올림픽스케이트장,2.01702E+13,I,2018.8.31 23:59,,211073.254,446559.6179,빙상장업,사립,,1,,,,,
75,빙상장업,10_34_01_P,3230000,CDFH3301242017000001,20171215,,3,폐업,3,폐업,20180214,,,,02-410-1691,,,서울특별시 송파구 방이동 88번지 올림픽공원,"서울특별시 송파구 올림픽로 424, 올림픽공원 (방이동)",5540,올림픽스케이트장,2.01802E+13,I,2018.8.31 23:59,,210199.4592,446539.2794,빙상장업,사립,Y,1,,,,,
76,빙상장업,10_34_01_P,4600000,CDFH3301242020000001,20200110,,3,폐업,3,폐업,20200210,,,,02-986-6304,,,충청남도 홍성군 홍성읍 소향리 397-118번지,충청남도 홍성군 홍성읍 홍덕서로 78,32216,홍성군 야외스케이트장(주-세항이엔지),2.02002E+13,U,2020.2.12 2:40,,168015.9646,345176.2954,빙상장업,사립,,,,,,,
